Test Time: 2026-03-13 13:02:42 ~ 2026-03-13 13:03:20 (Duration: 38.9s)
refRPM,RPM,refCCR,State
4000.0,3979.7,4564.0,STDY
4000.0,3979.8,4563.0,STDY
4000.0,3980.5,4564.0,STDY
4000.0,3980.6,4562.0,STDY
4000.0,3980.7,4563.0,STDY
4000.0,3981.3,4565.0,STDY
4000.0,3981.3,4561.0,STDY
4000.0,3981.9,4563.0,STDY
4000.0,3982.5,4562.0,STDY
4000.0,3981.8,4566.0,STDY
4000.0,3982.9,4566.0,STDY
4000.0,3982.2,4566.0,STDY
4000.0,3983.0,4567.0,STDY
4000.0,3983.7,4564.0,STDY
4000.0,3984.2,4565.0,STDY
4000.0,3984.4,4568.0,STDY
4000.0,3984.6,4566.0,STDY
4000.0,3985.0,4565.0,STDY
4000.0,3984.6,4565.0,STDY
4000.0,3985.5,4567.0,STDY
4000.0,3985.0,4569.0,STDY
4000.0,3985.0,4568.0,STDY
4000.0,3985.9,4566.0,STDY
4000.0,3985.6,4567.0,STDY
4000.0,3985.6,4571.0,STDY
4000.0,3986.5,4568.0,STDY
4000.0,3985.7,4570.0,STDY
4000.0,3987.0,4569.0,STDY
4000.0,3987.1,4565.0,STDY
4000.0,3986.6,4568.0,STDY
4000.0,3987.9,4564.0,STDY
4000.0,3986.9,4565.0,STDY
4000.0,3987.7,4567.0,STDY
4000.0,3988.3,4570.0,STDY
4000.0,3988.1,4569.0,STDY
4000.0,3988.3,4571.0,STDY
4000.0,3987.9,4572.0,STDY
4000.0,3988.6,4572.0,STDY
4000.0,3988.5,4571.0,STDY
4000.0,3989.7,4572.0,STDY
4000.0,3989.4,4570.0,STDY
4000.0,3990.6,4569.0,STDY
4000.0,3990.5,4570.0,STDY
4000.0,3991.0,4570.0,STDY
4000.0,3990.8,4571.0,STDY
4000.0,3990.2,4569.0,STDY
4000.0,3991.3,4571.0,STDY
4000.0,3991.1,4567.0,STDY
4000.0,3991.6,4568.0,STDY
4000.0,3991.9,4569.0,STDY
